100,Ahi Tuna,Appetizers,*,8,
101,Crab Rangoon (4),Appetizers,,5.95,
102,Fried Dumplings (Chicken) (5),Appetizers,,6.95,
103,Fried Tofu,Appetizers,*,4.95,"Deep fried bean curd, served with our house special peanut sauce"
104,Satay Chicken (3),Appetizers,,8.95,"Chicken marinated with fresh herbs, fried on skewers, served with peanut butter sauce and cucumber salad"
105,Summer Rolls (2),Appetizers,,4.95,"Rice paper wrapped chicken with fresh cilantro, lettuce and noodles served with our house special peanut sauce. Made with shrimp (Friday's only - 6.95) "
106,Thai Egg Rolls (Vegetarian) (4),Appetizers,*,4.95,
107,Wings (5),Appetizers,,6.95,Dry rub or Thai chili sauce
108,Combo Sampler,Appetizers,*,10.99,"(3 crab rangoons, 3 dumplings, 3 egg rolls) Sub dumplings with Fried Tofu (Friday's only)"
450,Pad Sea-Ewe,Noodles,*,11.99,"Stir fried wide rice noodles with egg, broccoli with your choice of meat"
451,Pad-Thai,Noodles,*,11.99,"Stir fried rice noodles with egg, bean sprouts and green onions topped with fresh cabbage, carrots and crushed peanuts and lime with your choice of meat"
452,Tung Tag,Noodles,*,11.99,"Stir fried wide rice noodles with fresh bean sproutsm egg, green onions with your choice of meat"
453,Kee-Moa Noodle,Noodles,*,11.99,"Stir friend wide rice noodles with bell peppers, onions, bean sprouts, tomato and basil leaves with your choice of meat"
454,Pad Wood Sen,Noodles,*,11.99,"Stir fried bean thread noodles, egg, mushrooms, tomato, peas, onion, bean sprouts, green peppers, corn and carrots with your choice of meat"
500,Soda,Beverages,,1.19,
501,Ice & Hot Tea,Beverages,,1.45,
502,Thai Ice Tea,Beverages,,2.75,To Go 4.95
503,Thai Ice Coffee,Beverages,,2.75,To Go 4.95
504,Domestic Beer,Beverages,,2.75,
505,Draft Beer,Beverages,,5.95,
506,Imported Beer,Beverages,,3.95,
507,Wine,Beverages,,5.95,
550,Thai Cheesecake,Desserts,,5.50,Special Sun Tai recipe from the Apple Barn
551,Chocolate Brownie w/ Scoop of ice Cream,Desserts,,5.50,Gluten Free and made by the Apple Barn
400,Cucumber Salad,Thai Salads,*,4.95,
401,House Salad,Thai Salads,*,5.95,"A bed of lettuce with tomatoes, served with peanut sauce, cucumber and fried tofu"
402,Larp Salad,Thai Salads,,6.95,"Ground chicken with red onions, carrots, seasoned with sour & salty sauce, served with lettuce"
